wkr,actual_winner,actual_share
1,CDU/CSU,26.507808
2,CDU/CSU,32.652553
3,CDU/CSU,35.034803
4,CDU/CSU,32.773521
5,GRÜNE,26.042143
6,CDU/CSU,32.721063
7,CDU/CSU,31.758596
8,CDU/CSU,32.316577
9,CDU/CSU,34.758672
10,CDU/CSU,32.73565
11,SPD,28.083554
12,AfD,35.85398
13,AfD,36.853335
14,AfD,26.804942
15,AfD,37.282849
16,AfD,45.207014
17,AfD,41.053236
18,SPD,27.452421
19,GRÜNE,27.512623
20,GRÜNE,27.74983
21,CDU/CSU,28.082087
22,SPD,32.324088
23,SPD,32.191598
24,SPD,41.157463
25,CDU/CSU,40.527016
26,SPD,35.361412
27,SPD,34.392756
28,CDU/CSU,29.291069
29,CDU/CSU,32.717228
30,CDU/CSU,36.347035
31,CDU/CSU,43.867301
32,CDU/CSU,45.834162
33,CDU/CSU,35.360149
34,CDU/CSU,35.942431
35,SPD,42.082917
36,CDU/CSU,33.179845
37,SPD,27.849892
38,CDU/CSU,36.583638
39,CDU/CSU,29.732929
40,SPD,31.745768
41,SPD,34.108478
42,SPD,36.19817
43,CDU/CSU,34.814369
44,CDU/CSU,35.201064
45,SPD,33.936139
46,SPD,32.99361
47,SPD,31.759425
48,SPD,30.748616
49,SPD,30.584653
50,SPD,33.416952
51,CDU/CSU,30.934608
52,SPD,30.405142
53,CDU/CSU,29.124308
54,SPD,25.197409
55,SPD,30.271576
56,AfD,38.87902
57,AfD,38.348876
58,AfD,30.841885
59,AfD,36.112492
60,AfD,33.643341
61,SPD,21.762735
62,AfD,33.610677
63,AfD,38.204097
64,AfD,41.998319
65,AfD,42.977802
66,AfD,39.189358
67,AfD,43.191938
68,AfD,39.009084
69,AfD,32.233446
70,AfD,38.576051
71,AfD,30.640854
72,AfD,44.394884
73,AfD,43.75848
74,GRÜNE,25.290072
75,GRÜNE,25.83874
76,CDU/CSU,30.877975
77,SPD,27.524331
78,CDU/CSU,30.744385
79,CDU/CSU,26.258642
80,GRÜNE,24.66733
81,Linke,29.973695
82,Linke,34.653211
83,Linke,41.837799
84,AfD,29.505752
85,Linke,33.976388
86,CDU/CSU,32.314547
87,CDU/CSU,40.080569
88,CDU/CSU,41.544148
89,CDU/CSU,39.850399
90,CDU/CSU,34.979742
91,CDU/CSU,38.382153
92,SPD,24.880108
93,GRÜNE,34.143598
94,GRÜNE,26.037707
95,CDU/CSU,33.310249
96,CDU/CSU,35.602947
97,CDU/CSU,43.821498
98,CDU/CSU,36.907167
99,CDU/CSU,42.204775
100,SPD,32.712751
101,SPD,33.563875
102,CDU/CSU,32.449389
103,CDU/CSU,36.58541
104,CDU/CSU,35.880771
105,CDU/CSU,36.144669
106,CDU/CSU,28.738754
107,CDU/CSU,36.284682
108,CDU/CSU,36.353984
109,CDU/CSU,37.830711
110,CDU/CSU,40.008254
111,CDU/CSU,41.22713
112,CDU/CSU,34.817641
113,CDU/CSU,31.958207
114,SPD,39.020282
115,SPD,33.261795
116,SPD,31.388077
117,SPD,32.590956
118,SPD,30.310034
119,CDU/CSU,35.735692
120,SPD,33.079512
121,CDU/CSU,31.621692
122,SPD,31.38498
123,CDU/CSU,41.812225
124,CDU/CSU,31.685172
125,CDU/CSU,47.862809
126,CDU/CSU,45.582066
127,CDU/CSU,37.851132
128,GRÜNE,31.200832
129,CDU/CSU,41.666905
130,CDU/CSU,41.577878
131,SPD,27.191214
132,CDU/CSU,30.124656
133,CDU/CSU,32.144447
134,CDU/CSU,31.334886
135,CDU/CSU,43.137492
136,CDU/CSU,45.493268
137,CDU/CSU,28.893453
138,CDU/CSU,30.896002
139,SPD,32.694538
140,SPD,33.541219
141,SPD,30.630093
142,SPD,32.436342
143,SPD,31.837318
144,SPD,32.233491
145,CDU/CSU,37.290566
146,CDU/CSU,47.719484
147,CDU/CSU,34.070579
148,CDU/CSU,42.141763
149,CDU/CSU,38.84585
150,AfD,43.765013
151,AfD,24.994261
152,Linke,36.795397
153,AfD,38.1923
154,AfD,45.326208
155,AfD,48.271708
156,AfD,48.867516
157,AfD,49.073969
158,AfD,29.41742
159,AfD,29.899681
160,AfD,45.357347
161,AfD,32.190056
162,AfD,44.164218
163,AfD,46.653591
164,AfD,39.912457
165,AfD,43.340239
166,CDU/CSU,31.100781
167,SPD,27.672665
168,CDU/CSU,32.250599
169,CDU/CSU,30.08674
170,SPD,30.280418
171,CDU/CSU,34.322421
172,CDU/CSU,30.434955
173,CDU/CSU,43.250892
174,CDU/CSU,34.1429
175,CDU/CSU,37.831249
176,CDU/CSU,33.655084
177,CDU/CSU,36.809084
178,CDU/CSU,30.659844
179,CDU/CSU,31.956532
180,CDU/CSU,39.799106
181,CDU/CSU,25.992234
182,CDU/CSU,27.364323
183,CDU/CSU,30.34648
184,CDU/CSU,31.195697
185,CDU/CSU,26.732452
186,CDU/CSU,33.988496
187,CDU/CSU,36.279802
188,AfD,39.529413
189,AfD,38.50954
190,AfD,32.484009
191,AfD,41.160183
192,Linke,36.822271
193,AfD,44.788656
194,AfD,44.47687
195,AfD,42.095391
196,CDU/CSU,35.604726
197,CDU/CSU,39.260141
198,CDU/CSU,35.709564
199,CDU/CSU,38.167422
200,CDU/CSU,32.268036
