wkr,wkr_name,party_raw,vote_share_2021,party
1,Flensburg – Schleswig,SPD,21.8,SPD
1,Flensburg – Schleswig,Grune,28.1,Grune
1,Flensburg – Schleswig,AfD,5.5,AfD
1,Flensburg – Schleswig,Linke,3.7,Linke
1,Flensburg – Schleswig,FDP,6.9,FDP
1,Flensburg – Schleswig,CDU_CSU,23.4,CDU/CSU
2,Nordfriesland – Dithmarschen Nord,SPD,27.8,SPD
2,Nordfriesland – Dithmarschen Nord,Grune,14.3,Grune
2,Nordfriesland – Dithmarschen Nord,AfD,5.7,AfD
2,Nordfriesland – Dithmarschen Nord,Linke,2.8,Linke
2,Nordfriesland – Dithmarschen Nord,FDP,9.7,FDP
2,Nordfriesland – Dithmarschen Nord,CDU_CSU,30.4,CDU/CSU
3,Steinburg – Dithmarschen Süd,SPD,29.2,SPD
3,Steinburg – Dithmarschen Süd,Grune,12.4,Grune
3,Steinburg – Dithmarschen Süd,AfD,7.7,AfD
3,Steinburg – Dithmarschen Süd,Linke,3.2,Linke
3,Steinburg – Dithmarschen Süd,FDP,14.3,FDP
3,Steinburg – Dithmarschen Süd,CDU_CSU,29.2,CDU/CSU
4,Rendsburg-Eckernförde,SPD,30.8,SPD
4,Rendsburg-Eckernförde,Grune,14.8,Grune
4,Rendsburg-Eckernförde,AfD,6.3,AfD
4,Rendsburg-Eckernförde,Linke,2.7,Linke
4,Rendsburg-Eckernförde,FDP,8,FDP
4,Rendsburg-Eckernförde,CDU_CSU,29.7,CDU/CSU
5,Kiel,SPD,29.5,SPD
5,Kiel,Grune,28.1,Grune
5,Kiel,AfD,4.6,AfD
5,Kiel,Linke,4.7,Linke
5,Kiel,FDP,7.4,FDP
5,Kiel,CDU_CSU,18.4,CDU/CSU
6,Plön – Neumünster,SPD,31.4,SPD
6,Plön – Neumünster,Grune,15.7,Grune
6,Plön – Neumünster,AfD,7.1,AfD
6,Plön – Neumünster,Linke,2.8,Linke
6,Plön – Neumünster,FDP,9.4,FDP
6,Plön – Neumünster,CDU_CSU,27.9,CDU/CSU
7,Pinneberg,SPD,31.2,SPD
7,Pinneberg,Grune,16.9,Grune
7,Pinneberg,AfD,6.4,AfD
7,Pinneberg,Linke,3,Linke
7,Pinneberg,FDP,10.9,FDP
7,Pinneberg,CDU_CSU,26.2,CDU/CSU
8,Segeberg – Stormarn-Mitte,SPD,32,SPD
8,Segeberg – Stormarn-Mitte,Grune,13.7,Grune
8,Segeberg – Stormarn-Mitte,AfD,7.1,AfD
8,Segeberg – Stormarn-Mitte,Linke,3.1,Linke
8,Segeberg – Stormarn-Mitte,FDP,10.4,FDP
8,Segeberg – Stormarn-Mitte,CDU_CSU,27.9,CDU/CSU
9,Ostholstein – Stormarn-Nord,SPD,33.7,SPD
9,Ostholstein – Stormarn-Nord,Grune,13.4,Grune
9,Ostholstein – Stormarn-Nord,AfD,6.8,AfD
9,Ostholstein – Stormarn-Nord,Linke,2.9,Linke
9,Ostholstein – Stormarn-Nord,FDP,9.4,FDP
9,Ostholstein – Stormarn-Nord,CDU_CSU,30.3,CDU/CSU
10,Herzogtum Lauenburg – Stormarn-Süd,SPD,31,SPD
10,Herzogtum Lauenburg – Stormarn-Süd,Grune,17.4,Grune
10,Herzogtum Lauenburg – Stormarn-Süd,AfD,7.2,AfD
10,Herzogtum Lauenburg – Stormarn-Süd,Linke,2.6,Linke
10,Herzogtum Lauenburg – Stormarn-Süd,FDP,10.5,FDP
